2022-05-12 03:01:10.580483700 T> capture finish 6 ms
2022-05-12 03:01:10.592468900 T> capture finish 11 ms
2022-05-12 03:01:10.599127500 T> capture finish 6 ms
2022-05-12 03:01:10.606184500 T> capture finish 6 ms
2022-05-12 03:01:10.613929900 T> capture finish 7 ms
2022-05-12 03:01:10.620442100 T> capture finish 6 ms
2022-05-12 03:01:10.627102500 T> capture finish 6 ms
2022-05-12 03:01:10.633321500 T> capture finish 5 ms
2022-05-12 03:01:10.640244200 T> capture finish 6 ms
2022-05-12 03:01:10.646644900 T> capture finish 6 ms
2022-05-12 03:01:10.653325200 T> capture finish 6 ms
2022-05-12 03:01:10.659890800 T> capture finish 6 ms
2022-05-12 03:01:10.666201000 T> capture finish 5 ms
2022-05-12 03:01:10.673527400 T> capture finish 7 ms
2022-05-12 03:01:10.679668000 T> capture finish 5 ms
2022-05-12 03:01:10.686243600 T> capture finish 6 ms
2022-05-12 03:01:10.693243700 T> capture finish 6 ms
2022-05-12 03:01:10.699668600 T> capture finish 6 ms
2022-05-12 03:01:10.705894500 T> capture finish 5 ms
2022-05-12 03:01:10.718680300 T> capture finish 12 ms
2022-05-12 03:01:10.724441900 T> capture finish 5 ms
2022-05-12 03:01:10.731082900 T> capture finish 6 ms
2022-05-12 03:01:10.738183300 T> capture finish 6 ms
2022-05-12 03:01:10.744509100 T> capture finish 5 ms
2022-05-12 03:01:10.751064900 T> capture finish 6 ms
2022-05-12 03:01:10.757239200 T> capture finish 5 ms
2022-05-12 03:01:10.763255300 T> capture finish 5 ms
2022-05-12 03:01:10.769532300 T> capture finish 6 ms
2022-05-12 03:01:10.776085600 T> capture finish 6 ms
2022-05-12 03:01:10.783095300 T> capture finish 6 ms
2022-05-12 03:01:10.789039100 T> capture finish 5 ms
2022-05-12 03:01:10.795071900 T> capture finish 5 ms
2022-05-12 03:01:10.801528700 T> capture finish 5 ms
2022-05-12 03:01:10.809948000 T> capture finish 7 ms
2022-05-12 03:01:10.816444600 T> capture finish 6 ms
2022-05-12 03:01:10.823011800 T> capture finish 6 ms
2022-05-12 03:01:10.829494100 T> capture finish 6 ms
2022-05-12 03:01:10.835901400 T> capture finish 6 ms
2022-05-12 03:01:10.842963400 T> capture finish 6 ms
2022-05-12 03:01:10.849096100 T> capture finish 5 ms
2022-05-12 03:01:10.855742200 T> capture finish 6 ms
2022-05-12 03:01:10.864372600 T> capture finish 8 ms
2022-05-12 03:01:10.880039100 T> capture finish 15 ms
2022-05-12 03:01:10.901283900 T> capture finish 9 ms
2022-05-12 03:01:10.921609600 T> capture finish 9 ms
2022-05-12 03:01:10.927920200 T> capture finish 6 ms
2022-05-12 03:01:10.936986800 T> capture finish 8 ms
2022-05-12 03:01:10.945473500 T> capture finish 7 ms
2022-05-12 03:01:10.951671600 T> capture finish 5 ms
2022-05-12 03:01:10.958549100 T> capture finish 6 ms
2022-05-12 03:01:10.968186500 T> capture finish 9 ms
2022-05-12 03:01:10.976477700 T> capture finish 7 ms
2022-05-12 03:01:10.982498800 T> capture finish 5 ms
2022-05-12 03:01:10.989846900 T> capture finish 6 ms
2022-05-12 03:01:10.996156900 T> capture finish 6 ms
2022-05-12 03:01:11.002904400 T> capture finish 6 ms
2022-05-12 03:01:11.010344200 T> capture finish 7 ms
2022-05-12 03:01:11.017305700 T> capture finish 6 ms
2022-05-12 03:01:11.024380300 T> capture finish 6 ms
2022-05-12 03:01:11.030846500 T> capture finish 6 ms
2022-05-12 03:01:11.037228000 T> capture finish 6 ms
2022-05-12 03:01:11.043878100 T> capture finish 6 ms
2022-05-12 03:01:11.049856000 T> capture finish 5 ms
2022-05-12 03:01:11.056454800 T> capture finish 6 ms
2022-05-12 03:01:11.062567700 T> capture finish 5 ms
2022-05-12 03:01:11.069659800 T> capture finish 6 ms
2022-05-12 03:01:11.076988100 T> capture finish 7 ms
2022-05-12 03:01:11.083596500 T> capture finish 6 ms
2022-05-12 03:01:11.089847400 T> capture finish 5 ms
2022-05-12 03:01:11.095870800 T> capture finish 5 ms
2022-05-12 03:01:11.102223900 T> capture finish 6 ms
2022-05-12 03:01:11.110084000 T> capture finish 7 ms
2022-05-12 03:01:11.116066100 T> capture finish 5 ms
2022-05-12 03:01:11.122383000 T> capture finish 6 ms
2022-05-12 03:01:11.128420500 T> capture finish 5 ms
2022-05-12 03:01:11.134459200 T> capture finish 5 ms
2022-05-12 03:01:11.141403200 T> capture finish 6 ms
2022-05-12 03:01:11.148633500 T> capture finish 6 ms
2022-05-12 03:01:11.154655600 T> capture finish 5 ms
2022-05-12 03:01:11.161169800 T> capture finish 6 ms
2022-05-12 03:01:11.167130500 T> capture finish 5 ms
2022-05-12 03:01:11.176500800 T> capture finish 9 ms
2022-05-12 03:01:11.185033100 T> capture finish 6 ms
2022-05-12 03:01:11.193493900 T> capture finish 7 ms
2022-05-12 03:01:11.200236200 T> capture finish 6 ms
2022-05-12 03:01:11.207031000 T> capture finish 6 ms
2022-05-12 03:01:11.215662000 T> capture finish 8 ms
2022-05-12 03:01:11.227220600 T> capture finish 11 ms
2022-05-12 03:01:11.234456000 T> capture finish 6 ms
2022-05-12 03:01:11.240680600 T> capture finish 5 ms
2022-05-12 03:01:11.247197900 T> capture finish 6 ms
2022-05-12 03:01:11.255155700 T> capture finish 7 ms
2022-05-12 03:01:11.262185000 T> capture finish 6 ms
2022-05-12 03:01:11.269874100 T> capture finish 7 ms
2022-05-12 03:01:11.277078400 T> capture finish 6 ms
2022-05-12 03:01:11.283422200 T> capture finish 5 ms
2022-05-12 03:01:11.290270100 T> capture finish 6 ms
2022-05-12 03:01:11.296309300 T> capture finish 5 ms
2022-05-12 03:01:11.303644600 T> capture finish 6 ms
2022-05-12 03:01:11.311396900 T> capture finish 7 ms
2022-05-12 03:01:11.319571400 T> capture finish 7 ms
2022-05-12 03:01:11.327516400 T> capture finish 7 ms
2022-05-12 03:01:11.334537500 T> capture finish 6 ms
2022-05-12 03:01:11.341320400 T> capture finish 6 ms
2022-05-12 03:01:11.347810500 T> capture finish 6 ms
2022-05-12 03:01:11.354092600 T> capture finish 6 ms
2022-05-12 03:01:11.362805500 T> capture finish 8 ms
2022-05-12 03:01:11.369989600 T> capture finish 6 ms
2022-05-12 03:01:11.377359400 T> capture finish 7 ms
2022-05-12 03:01:11.383773000 T> capture finish 6 ms
2022-05-12 03:01:11.389822700 T> capture finish 5 ms
2022-05-12 03:01:11.396778900 T> capture finish 5 ms
2022-05-12 03:01:11.403023700 T> capture finish 5 ms
2022-05-12 03:01:11.409979800 T> capture finish 6 ms
2022-05-12 03:01:11.415831200 T> capture finish 5 ms
2022-05-12 03:01:11.421820400 T> capture finish 5 ms
2022-05-12 03:01:11.427812600 T> capture finish 5 ms
2022-05-12 03:01:11.434454900 T> capture finish 6 ms
2022-05-12 03:01:11.442066800 T> capture finish 7 ms
2022-05-12 03:01:11.448024200 T> capture finish 5 ms
2022-05-12 03:01:11.454191800 T> capture finish 5 ms
2022-05-12 03:01:11.460425700 T> capture finish 5 ms
2022-05-12 03:01:11.466331400 T> capture finish 5 ms
2022-05-12 03:01:11.472367300 T> capture finish 5 ms
